year,month,day,hour,season,is_weekend,station_type,temperature_C,humidity_pct,wind_speed_kmh,rainfall_mm,traffic_density,vehicles_per_km2,industrial_proximity,population_density,green_cover_pct,PM2_5,PM10,NO2,SO2,CO,O3,Benzene,Toluene,dew_point_C,atm_pressure_hpa,visibility_km,wind_direction_deg,solar_radiation_wm2,cloud_cover_pct,road_dust_index,construction_activity_index,uv_index,pollen_count,mixing_layer_height_m,boundary_layer_temp_C,soil_moisture_index,aerosol_optical_depth,black_carbon_ugm3,organic_carbon_ugm3,secondary_organic_aerosol,nitrate_ugm3,sulfate_ugm3,ammonium_ugm3,methane_ppm,formaldehyde_ugm3,xylene_ugm3,heavy_metal_index,lead_ngm3,arsenic_ngm3,noise_level_db,light_pollution_index,waste_burning_index,crop_burning_index,diesel_generator_index,two_wheeler_density,power_plant_proximity,AQI
2020,1,7,14,Winter,0,Residential,26.5,77.4,7.0,0.03,55.6,665.0,1.4,93.0,2.2,99.6,144.3,62.8,27.3,1.71,73.7,4.35,9.26,18.2,1005.1,12.5,-1.279,-1.4563,-0.5027,0.4309,-0.676,-1.834,-0.4706,0.0866,0.2577,-1.8743,1.1967,0.519,0.392,0.2982,1.357,0.7369,0.5876,1.3973,-1.2051,1.4094,-1.6944,-0.4011,-0.2889,0.5331,-0.7416,1.0265,1.6343,-0.5007,0.8464,1.2276,219.8
2023,9,20,11,Autumn,0,Residential,28.6,52.3,3.4,5.43,69.7,854.0,5.4,87.0,10.4,178.7,262.6,110.6,50.4,3.26,66.3,7.49,15.96,18.3,1004.9,10.3,-0.7379,1.462,-0.5589,0.2936,-0.9355,1.4655,0.9431,-2.226,-1.0959,-0.4505,-0.5987,-0.3287,1.1006,-0.7011,-0.7344,2.0999,-0.4279,2.0511,1.2361,0.9836,0.6839,1.5058,0.1672,0.5458,1.5184,1.4919,-0.7771,1.4995,-1.1579,-0.2685,261.8
2023,11,26,16,Autumn,1,Residential,23.6,59.9,7.8,3.32,79.7,957.0,3.8,77.0,16.2,183.6,273.6,105.3,51.3,3.65,66.2,7.93,,14.4,1006.1,10.8,-1.1222,-1.2577,-0.0102,-1.3294,0.1611,1.0661,-0.2961,1.0409,0.7224,2.3666,1.546,0.4931,-0.8567,-0.6573,-0.782,0.3137,-0.5958,-0.4175,0.5785,-0.75,-0.2801,-0.4591,-0.7237,1.1984,-0.3502,0.202,-0.8297,-0.3139,-0.4473,-0.0545,202.0
2020,9,6,22,Autumn,0,Residential,23.4,75.3,0.5,3.63,76.1,908.0,5.4,110.0,4.4,194.6,290.6,121.2,54.7,3.96,54.6,8.72,18.14,14.8,1005.3,9.8,-0.9136,0.1508,1.5914,0.6508,-0.5916,0.6011,0.0872,0.9011,0.6161,0.7357,-0.546,-1.7314,-1.0918,-0.8685,0.8421,1.1057,-0.6446,-0.5317,-0.3283,-0.8981,-0.8768,-2.2862,-1.1319,0.371,0.2407,0.4066,0.8615,0.6854,-0.4825,1.5887,266.7
2020,12,21,15,Winter,1,Industrial,16.6,55.2,,0.2,63.8,765.0,2.5,79.0,6.8,125.8,189.0,70.7,31.8,2.56,,5.82,12.52,11.0,1009.0,12.6,-0.8409,0.4141,-0.2044,0.667,-0.9962,-2.8945,-0.5344,1.078,2.6191,0.7979,0.6784,0.1619,1.0555,-0.82,-1.0541,-0.3665,-0.784,1.3149,-0.4993,0.6831,-0.4522,-0.0161,1.0053,1.2869,1.5163,-2.4694,-0.2012,0.807,-1.6721,0.2607,121.0
2023,5,4,14,Spring,1,Traffic,26.8,46.7,29.0,2.68,54.4,645.0,3.6,123.0,12.2,96.7,150.1,57.0,26.2,1.77,78.3,4.19,8.81,17.4,1003.9,12.2,-0.2193,-0.8962,1.0962,-0.7543,0.3145,1.4278,0.2084,-0.4727,-1.0793,-0.2591,0.2715,-0.5765,1.4425,-0.2636,-0.6073,-0.448,1.6793,0.1885,-0.2457,-0.795,0.2867,-1.2535,-0.8334,-0.7532,-0.7769,-0.9453,1.9151,0.0113,-0.2252,2.4299,148.0
2020,2,21,21,Winter,1,Residential,18.9,36.9,27.8,6.43,75.3,909.0,2.3,91.0,9.2,102.1,151.0,62.8,25.4,2.09,70.5,4.62,9.41,11.9,1007.3,11.9,-0.3329,0.2576,1.3403,-1.0598,0.8105,1.3684,0.299,-0.8775,1.6799,0.5252,0.4917,-1.5581,-0.9131,-0.396,0.442,-0.8383,0.1311,0.3486,2.9243,1.1278,-0.26,0.7081,0.0914,0.502,0.6537,-0.1524,-0.6878,0.6627,0.126,0.4811,95.6
2019,8,19,1,Monsoon,1,Residential,30.0,,11.1,2.27,62.0,742.0,3.1,89.0,8.8,131.6,196.7,77.8,37.4,2.54,,5.87,12.01,20.0,1001.8,11.5,0.7643,-0.3392,0.5891,-0.744,0.5495,1.1013,2.1464,0.4321,-1.1734,-1.0303,1.1763,0.6875,0.7019,0.954,0.6186,1.0667,-0.8798,-1.5266,0.5645,-0.4935,0.2472,0.9729,0.0181,0.3488,0.7376,1.3299,-1.1719,-0.3198,0.5154,1.1771,164.0
2022,1,7,19,Winter,0,Industrial,27.5,48.4,1.1,1.69,110.1,1336.0,1.0,105.0,12.3,212.5,322.1,129.0,,4.19,57.6,9.48,19.99,18.6,1005.1,9.1,1.4631,0.0804,1.3785,0.4346,0.761,0.2061,1.2411,-0.6173,-1.5477,0.8757,-0.8912,0.4711,-0.8432,-0.9642,0.5176,-0.122,-0.7236,1.1474,-0.9461,-1.7797,1.1555,1.457,0.0805,0.099,-0.3182,-0.3866,1.6894,1.1742,0.4996,-1.1773,233.4
2023,12,18,17,Winter,0,Residential,28.6,77.3,11.4,5.82,79.7,951.0,1.0,74.0,4.2,138.7,204.3,81.9,38.5,2.97,73.0,6.23,12.93,18.5,1004.9,11.8,0.1442,-0.4013,-0.3163,-1.7383,0.2357,-1.0321,1.2433,-0.3409,-0.3471,1.096,-0.926,1.167,1.3647,-1.225,-1.1884,-0.4736,-1.548,-1.0278,-0.3507,0.3881,-1.3002,0.9693,1.4182,0.3541,-0.3142,-1.0707,0.9293,-2.4349,0.8002,-0.6785,206.9
2023,12,28,10,Winter,0,Industrial,41.1,46.7,0.5,1.17,41.9,494.0,1.0,101.0,22.2,89.9,139.3,54.5,22.1,1.91,84.0,4.14,8.9,27.9,1000.1,12.6,-0.103,-0.029,-0.924,0.6294,0.0882,-1.5879,-0.2965,-1.2534,-1.4882,-0.0204,-0.2415,2.2341,0.1879,0.9204,-1.7644,0.0203,-0.1906,-0.1329,-1.1208,-0.5981,0.784,-0.5857,-0.3024,-1.1094,0.526,-0.2596,-0.4054,0.582,-1.1472,0.323,195.9
2020,10,9,11,Autumn,0,Background,25.7,56.1,0.5,1.83,53.1,621.0,5.8,91.0,7.7,156.5,230.7,90.0,43.5,3.28,67.6,6.96,14.66,18.3,1005.2,10.8,-0.9286,-0.9733,0.2036,-0.3105,1.2798,-0.7561,0.9871,0.6915,1.3689,1.2789,-0.2455,1.4889,-1.0833,1.055,-1.8171,1.4414,-0.8102,-1.494,1.9133,1.4378,0.9877,-1.1727,0.2468,0.3417,1.4229,0.1244,-0.5782,0.0761,1.1801,1.8428,252.0
2021,5,23,18,Spring,0,Industrial,32.8,41.5,3.1,1.29,66.2,819.0,5.7,97.0,9.2,192.8,287.4,120.4,56.9,3.72,58.0,8.72,18.02,20.6,1003.9,9.9,-1.6747,1.4129,-0.7301,0.0159,1.2556,1.968,-0.4609,0.0222,0.9434,0.4942,0.0051,0.7191,-0.765,-0.0508,0.5049,-1.4014,0.379,-0.2537,0.0724,0.4682,-1.5664,-0.0285,0.3555,0.5361,-0.2598,0.6025,1.1591,-0.0136,-1.4989,-0.1893,250.9
2023,5,13,16,Spring,1,Background,44.5,61.0,5.4,5.4,97.5,1161.0,10.0,73.0,21.2,298.2,444.3,178.5,80.0,6.23,48.0,13.46,28.04,28.9,999.3,6.5,0.9248,1.6322,-0.4415,-1.7659,-0.6985,0.1816,-0.9626,-1.1686,-0.5649,-0.7528,0.5136,1.2072,-1.0797,-0.115,-1.0361,1.0437,-1.6998,-0.1209,-0.0216,-0.2381,-0.3603,1.0775,0.3442,2.4448,0.6548,-0.5815,-0.9232,-1.5962,-1.1051,-2.7589,350.0
2023,11,1,21,Autumn,0,Traffic,37.8,65.2,11.8,0.16,100.3,1202.0,5.5,73.0,12.0,218.5,334.0,130.2,61.4,4.34,59.7,9.59,19.76,24.0,1000.4,8.8,-0.8995,0.3728,-0.9669,-0.6023,-0.9643,0.2535,-0.6868,1.5431,-0.3593,1.0503,-0.6521,-1.2318,-0.2461,0.3124,0.2442,0.0022,0.1759,-0.3362,1.8099,1.0947,0.218,0.1728,-0.7228,-0.4564,-0.5492,-1.2693,-0.2043,0.103,-0.4471,-0.9945,292.2
2020,6,20,10,Monsoon,0,Industrial,36.4,66.4,9.2,1.39,55.1,647.0,2.4,48.0,14.8,103.7,155.9,63.7,29.4,2.18,72.5,4.94,10.55,23.2,1000.5,13.0,-0.3453,-0.2672,-1.0394,0.4233,0.1432,0.7699,1.3301,-0.6313,-0.3691,-0.2123,0.8693,0.4012,0.242,2.6548,0.8788,0.1671,-1.4112,-0.632,2.1842,0.1481,-2.5428,-0.3588,-0.5524,-0.1743,0.9874,0.1234,0.0316,0.8026,-0.801,0.6286,220.0
2021,2,14,4,Winter,1,Traffic,23.2,91.6,4.7,2.32,41.7,494.0,3.2,78.0,6.7,87.6,130.5,48.6,21.5,1.98,73.8,4.25,8.98,15.6,1005.1,13.1,0.2014,0.7027,0.2313,0.0365,-0.1354,0.2678,1.2764,-0.0075,0.1299,-0.9685,-0.6184,0.5417,2.5211,-1.3516,-1.0103,0.4608,0.7972,-1.2006,-0.6238,0.5711,-1.21,0.9682,1.5233,-1.6018,-0.4343,1.0232,-1.477,0.0222,0.8481,0.811,218.2
2019,1,4,20,Winter,0,Residential,28.1,59.7,2.6,3.14,38.5,443.0,1.0,77.0,5.8,80.0,115.1,47.4,19.4,1.46,89.6,3.23,6.95,18.2,1006.2,13.4,0.366,0.5953,-1.516,0.3041,-0.6553,1.8549,0.4967,-2.1657,0.0105,0.9748,1.5181,-0.5352,0.2937,0.2812,0.0908,0.1231,-0.7442,0.0788,0.2721,0.6063,-0.5179,-2.5655,-1.792,1.2167,0.4826,0.2437,-0.4478,-1.6701,-0.3011,0.5279,146.7
2022,7,14,17,Monsoon,1,Traffic,14.1,65.3,40.0,1.75,71.3,842.0,2.4,73.0,11.5,75.6,118.0,41.7,18.3,1.39,80.7,,7.74,8.8,1009.7,13.9,1.8087,-2.3153,0.8064,0.172,1.8664,0.4854,2.7091,0.4549,0.6339,-0.0467,0.6084,-0.6644,0.3147,-0.2047,1.3404,-0.6938,-1.4936,-0.9008,-0.9903,-1.2358,-0.6033,-1.4828,0.3814,0.0703,0.9946,-0.5906,2.1453,0.0606,-1.2571,-0.6282,143.7
2022,3,8,22,Spring,0,Residential,30.5,49.8,4.4,4.79,122.6,1490.0,3.6,85.0,12.4,245.8,371.9,145.2,69.6,5.08,52.0,10.97,22.99,19.5,1003.0,9.5,-0.0861,-0.4689,0.2626,1.3759,-0.2814,-0.7043,-1.0911,-0.7238,1.0577,0.0447,-0.1169,-1.3615,0.9845,-2.7695,-0.0714,-0.753,0.5651,0.9831,-2.3838,-0.9662,-0.1228,2.011,-0.2821,-2.1221,-0.2749,1.5989,-0.2148,-1.7515,-1.1359,-0.3646,288.8
2023,5,18,12,Spring,1,Traffic,28.5,98.0,4.8,5.69,78.5,940.0,6.6,89.0,12.0,212.6,316.1,127.3,62.0,4.33,56.0,9.63,,19.2,1003.2,10.0,-0.8114,0.0888,-0.2781,0.6312,1.0133,1.7429,-0.3861,0.2426,2.9447,0.0659,-0.74,-3.0688,-1.6924,-0.9592,0.7628,-0.2059,0.5418,0.3687,-0.9035,-0.1839,1.2691,0.3949,-1.781,1.0127,-0.3532,-0.2092,1.7642,0.3059,0.2361,-0.9638,350.0
2022,10,3,15,Autumn,0,Traffic,26.2,75.3,1.4,0.13,25.2,295.0,3.4,99.0,14.2,76.5,114.8,47.4,24.9,1.6,72.8,3.84,8.16,15.9,1005.8,12.6,0.9335,-0.6201,-0.6234,-0.2636,0.2925,-0.3947,-0.9242,0.0277,-0.8845,0.0216,-0.6686,-0.6199,0.2097,0.3512,0.1884,0.3652,1.2769,0.0716,-0.1134,1.4406,-0.6372,-1.3888,-0.2961,0.611,1.5499,-0.2194,1.2683,-0.526,-0.0136,-1.2609,225.1
2022,8,6,20,Monsoon,0,Traffic,35.2,75.9,12.7,1.03,46.8,573.0,1.2,100.0,20.6,76.7,116.5,44.5,21.2,1.53,78.1,3.53,7.03,22.3,1001.6,14.0,-0.6753,0.1283,-0.9029,0.2408,-0.5216,0.8046,0.0633,-0.0896,-0.0657,0.3695,-2.0292,1.0485,-0.2718,-0.1697,-1.2149,-0.6474,0.2555,0.1264,-0.7975,1.6025,0.1994,-0.2832,-2.2494,0.931,0.4944,0.7378,0.81,1.6699,1.1956,-2.6813,200.3
2022,10,8,5,Autumn,0,Industrial,15.1,79.6,9.5,0.05,49.4,581.0,6.4,102.0,8.6,140.7,212.3,83.5,41.6,2.72,44.2,6.09,12.43,10.1,1008.2,11.0,0.0078,-0.1008,-0.7419,0.6956,0.3424,0.7164,-0.697,0.2844,-0.589,1.2505,0.7559,0.1063,1.0559,-0.6764,-1.5623,-0.0677,-0.1989,-1.1451,-0.3394,0.0619,0.912,0.7713,-0.3658,-0.2651,-1.9754,0.5858,-1.0266,0.577,1.1726,-0.028,235.5
2019,7,6,9,Monsoon,0,Residential,40.7,73.5,2.0,0.8,44.4,544.0,2.2,103.0,4.4,95.7,141.6,59.6,,1.73,75.3,3.94,8.18,27.3,1001.0,12.7,0.5622,0.2759,-1.3661,-0.7504,-0.1354,0.5998,0.0393,0.6579,0.3956,1.3204,1.4178,2.1719,-0.4544,0.5673,1.0271,-1.1743,-0.7359,0.2476,-0.5754,-0.8633,-1.1141,-1.1584,0.3534,-0.801,2.759,-1.1593,1.6626,0.0675,-1.8817,0.3754,265.3
2022,1,11,17,Winter,0,Residential,34.1,80.5,0.7,1.54,55.3,670.0,1.6,94.0,24.9,118.4,183.6,70.2,30.7,2.48,82.2,5.56,11.19,22.0,1003.1,,-0.5869,-0.0841,2.8804,-0.9517,-0.6642,-0.2837,-0.0865,0.9828,1.8253,0.3391,0.1401,-0.7172,-1.306,0.0561,-0.1069,-1.0583,0.2867,0.0688,0.5283,0.9564,1.0541,-0.8119,0.0803,-0.9341,0.8283,-0.6509,-0.7301,0.4103,1.4305,-0.1038,227.5
2021,11,20,6,Autumn,0,Traffic,25.4,56.6,9.1,4.83,74.2,901.0,3.1,89.0,15.4,149.0,222.6,87.2,40.0,2.83,54.7,6.78,14.34,16.1,1004.6,11.4,-1.8005,1.692,0.2365,-1.3492,0.2423,-2.8109,-1.1538,1.3276,0.5106,-1.65,-0.5121,0.5146,0.1754,0.0581,0.0508,-1.48,-1.9947,-0.5645,0.2412,-0.4029,0.3262,1.1818,1.2781,-0.6956,0.661,0.1305,0.3248,1.2979,-0.8398,0.6829,212.1
2020,9,25,18,Autumn,0,Traffic,24.7,98.0,8.5,3.75,82.0,986.0,2.2,108.0,18.5,145.0,216.7,88.3,39.7,2.98,62.5,,13.81,18.6,1005.3,11.7,1.5861,-0.3908,-0.2904,-0.2766,1.3841,-0.3561,-2.5339,-0.2972,1.0325,1.248,-1.6071,-0.3871,-0.6732,1.1448,-0.1532,-0.0028,-0.4958,-1.0906,-2.1408,0.7211,-0.3577,1.3513,1.0516,0.2573,-1.3974,1.5521,-0.4573,-0.4282,1.1353,1.1846,224.4
2019,10,14,23,Autumn,0,Industrial,30.3,32.2,2.6,0.27,92.3,1092.0,3.6,103.0,6.9,213.7,324.5,128.3,59.8,4.28,55.9,9.71,20.08,19.6,1004.2,9.4,0.1263,0.2004,1.3415,1.8105,0.9255,0.4706,-0.248,0.2291,0.0264,0.0916,0.784,0.447,0.3874,-0.3397,-0.4216,0.4466,-0.4109,0.4432,-0.2221,0.8259,0.7751,-0.1464,0.2267,2.1251,0.8351,-1.1411,-1.3351,0.6716,-0.131,-1.6993,230.6
2021,11,5,8,Autumn,0,Traffic,39.7,55.1,24.1,0.2,78.1,931.0,5.2,55.0,15.9,151.6,230.3,90.6,42.3,3.01,74.4,6.9,14.08,24.7,999.5,10.2,0.7425,2.0421,0.0098,-1.0696,-1.2412,-2.2531,1.0845,0.3503,0.6042,0.7796,1.6545,0.3767,0.6801,0.5169,-1.9066,0.0301,-0.1789,0.5521,0.9723,-1.7499,0.1876,-0.7837,-0.7378,1.7967,0.7153,2.3146,-1.226,-0.4674,-1.6054,0.4674,234.6
2023,10,9,17,Autumn,0,Residential,26.9,91.2,1.3,1.78,16.1,188.0,2.4,84.0,18.7,62.6,97.5,41.0,,1.24,76.7,2.78,5.39,17.9,1004.8,13.3,-1.9375,0.9631,-1.2515,0.6083,0.0001,0.2069,-0.9999,0.6276,-0.0592,-0.0316,0.4306,0.4419,-0.8334,-0.9185,0.8624,-0.5771,1.0817,0.7119,-0.3442,1.0508,-1.646,-0.1169,1.0195,-1.223,-0.9388,1.6442,-0.1374,1.447,1.0153,-0.266,206.4
2022,10,7,1,Autumn,1,Residential,27.3,56.9,4.5,1.52,38.6,473.0,2.5,48.0,6.7,92.4,146.1,54.1,25.5,1.74,74.0,4.26,9.22,17.6,1005.9,13.6,-0.3102,0.5009,-1.389,-0.5312,-0.3021,-2.3715,-0.0616,-1.4794,1.2428,-0.7921,1.2547,0.3759,0.9832,-0.5708,-0.0701,0.2581,1.2252,0.2187,1.7434,1.1238,0.9098,0.24,-1.5095,-0.1353,-1.7073,1.4966,-0.4917,-0.9895,-0.0613,-0.6929,187.7
2019,11,18,12,Autumn,0,Background,26.2,71.9,23.0,0.62,61.0,731.0,5.2,48.0,16.1,111.3,164.2,68.8,33.0,2.31,63.1,4.97,10.02,15.4,1005.5,13.2,-0.5382,-0.4192,-1.5587,1.3701,-0.0189,-1.1354,-1.307,-0.9327,0.0897,-0.1685,-1.451,0.031,0.3445,-0.6997,-0.5272,-0.6667,-0.1061,2.3052,-1.029,0.884,0.8209,-0.2965,-1.9395,0.5573,-1.1512,-0.6288,1.9652,-1.6104,1.7484,0.6175,198.6
2019,7,15,19,Monsoon,0,Background,42.0,51.5,4.4,4.59,68.7,826.0,5.2,77.0,2.5,181.7,273.1,102.3,49.6,3.62,66.6,8.18,17.04,26.6,999.7,10.6,-1.6767,-0.6556,-0.5253,0.3602,-0.8818,0.4413,-1.2449,0.2281,-1.7836,0.6925,-0.657,-0.8952,-0.5238,-0.8233,1.0919,1.8834,-1.6092,0.9773,1.3282,1.1351,-0.2811,0.9324,0.038,-1.5099,0.8659,-1.1216,-1.3088,-0.4591,1.2843,0.0802,339.8
2019,10,28,3,Autumn,0,Traffic,22.7,68.0,8.1,5.24,86.5,1039.0,3.9,85.0,12.3,182.8,271.0,108.8,50.4,3.66,50.8,8.14,16.87,16.3,1005.9,10.4,0.2258,0.0402,1.7596,-0.0853,0.6113,-3.0911,-0.5376,-0.0139,-1.0966,-0.1381,-1.4598,-2.3602,-1.6425,-1.7303,-0.5531,-1.1224,1.4569,0.6783,-2.5403,-0.6475,0.7959,0.432,1.6233,-0.4245,-0.58,0.1085,1.3161,-0.9373,1.5099,-1.4401,186.7
2019,10,11,7,Autumn,0,Industrial,25.7,53.5,4.1,1.03,66.1,799.0,2.9,79.0,15.1,144.1,214.0,86.6,43.6,2.72,65.8,6.2,13.08,17.6,1005.9,12.4,1.2736,0.1041,-1.2547,-0.4231,0.0907,0.415,-0.7153,-1.487,0.3713,-1.903,1.5543,-0.1276,0.7084,-1.857,-1.0087,-0.9762,-0.7117,-0.592,-0.2592,-1.04,1.7261,-0.2714,1.3951,1.646,1.0177,0.2627,1.1073,0.1838,-1.5292,0.3028,179.4
2020,11,15,20,Autumn,0,Industrial,39.2,81.0,2.6,4.42,66.3,788.0,7.4,49.0,4.7,221.1,328.4,132.2,57.8,4.38,60.3,10.11,21.49,25.8,1002.1,10.0,-1.2224,-0.2419,-0.3217,-0.8808,-1.6117,2.3208,-0.7927,0.3959,0.2909,0.2611,-1.2249,0.2746,0.6597,-0.2015,0.3226,0.3309,-1.1051,-1.4996,0.3166,-0.6621,0.1002,0.3843,1.6679,1.4117,-0.9616,0.6276,1.1398,-0.2401,0.4264,0.5559,350.0
2022,5,6,19,Spring,0,Traffic,27.3,65.2,33.1,,70.9,844.0,1.8,105.0,6.5,87.3,130.7,50.2,29.3,1.78,80.0,4.04,8.31,18.2,1004.7,13.3,0.0823,0.2357,-0.5812,0.794,-0.3174,0.1438,-0.1545,0.2141,-0.5958,-0.8797,1.2883,0.2842,-0.1651,0.7705,-0.1361,0.0357,-0.4885,-0.2608,0.9295,-0.9368,0.6469,-0.002,-1.098,0.1423,-0.2739,-1.3529,0.0902,0.5358,1.6766,-0.5908,135.2
2021,3,17,20,Spring,0,Residential,36.2,28.5,4.2,2.67,58.6,690.0,5.3,72.0,6.0,159.0,241.7,90.8,45.5,3.24,78.7,7.07,15.4,22.8,1001.2,11.5,1.0461,0.2939,0.7789,-0.6707,-1.0524,0.4142,0.8597,-0.1142,0.3673,-1.1317,-0.0556,0.5477,-0.2399,-1.9367,-1.2316,-0.3574,-0.3029,-0.3911,-0.431,-0.1999,1.0587,-1.5351,0.268,0.5821,-0.8043,-0.5151,-0.4086,1.1449,-0.4496,0.1631,223.2
2020,7,28,22,Monsoon,0,Industrial,17.8,45.4,18.0,1.29,67.2,788.0,1.8,99.0,23.2,102.7,152.6,59.8,34.8,2.07,78.4,4.59,,12.2,1008.2,12.7,-0.3049,0.9258,1.7227,0.6322,-1.515,0.2632,-1.6211,0.7138,1.3498,1.1121,0.154,-0.4461,-0.0656,-0.1241,0.6129,1.4655,-0.4455,-2.556,-1.297,2.0073,-1.3067,0.1658,-1.61,-1.0873,-0.1625,0.2176,1.059,0.3035,-0.613,-0.3491,95.4
2023,3,13,17,Spring,1,Industrial,24.2,42.5,2.1,0.26,93.1,1118.0,3.5,73.0,6.8,221.6,333.0,131.4,64.8,4.43,57.9,9.69,20.3,14.9,1006.3,8.8,0.1763,-1.0235,-1.528,-0.1027,0.4846,1.1782,0.0434,2.0224,0.4343,-0.8842,0.9798,-1.4168,-0.7276,1.1864,1.9107,0.5308,-1.6636,0.5193,-0.1929,0.0569,-0.9979,0.7473,0.9093,0.6182,-1.4518,0.3918,-1.4418,-1.2829,-0.5508,-0.9451,221.1
2023,9,20,23,Autumn,0,Industrial,39.4,85.3,1.9,5.26,62.9,744.0,1.0,77.0,4.0,121.5,178.7,73.5,33.6,2.38,73.6,5.46,11.24,25.0,999.6,11.7,0.0595,-0.3443,-0.433,-0.3747,-0.253,-1.6427,-1.4716,-0.3265,0.299,0.7449,0.4065,0.3154,1.118,1.4832,0.4338,-2.1049,0.0676,2.2426,-1.3971,1.5312,-0.813,-0.4514,0.5222,-0.4836,-1.7224,-1.0762,-0.3524,-0.57,-0.2754,0.6655,299.1
2020,1,20,9,Winter,0,Industrial,19.9,,0.5,1.21,64.2,782.0,3.6,98.0,12.2,,246.5,102.8,44.0,3.28,54.1,7.19,15.09,13.9,1007.6,,1.689,-0.3568,0.4753,-0.834,-0.2998,-0.518,-0.3351,-0.7774,0.3278,0.281,0.3343,1.543,-0.1289,0.3174,-0.8307,0.5328,0.2636,-0.945,1.0489,0.2419,0.248,0.7695,0.5018,-1.5451,0.7969,-0.3322,-1.3732,0.4083,-1.8211,0.1023,185.8
2022,4,5,10,Spring,0,Traffic,24.6,55.2,8.4,2.65,,763.0,7.8,80.0,1.7,194.4,286.1,113.3,57.5,3.94,54.0,8.66,18.47,15.5,1005.5,10.2,-1.0282,-0.4078,0.6807,0.1021,-0.8675,-0.8378,0.2955,-1.2333,0.6505,0.2612,-0.608,-0.181,0.7309,-0.4014,-0.073,0.1227,-1.3053,0.6975,1.4798,-0.0555,0.7486,0.1313,-0.4909,-0.8313,2.1685,-0.7333,0.7151,-0.1994,1.5582,-0.6325,270.5
2020,5,8,5,Spring,0,Residential,28.3,98.0,3.7,0.92,97.4,1170.0,6.1,92.0,8.2,242.6,362.5,146.5,64.6,5.02,66.0,10.75,23.13,20.9,1004.0,8.8,-0.2113,-0.9122,-2.6704,0.2606,-1.7199,0.3684,-0.3819,0.2002,1.0068,-0.9055,1.5207,-0.1725,-0.4996,0.8608,0.0108,1.7041,0.2364,0.6125,-0.7643,0.006,0.8053,-0.0851,1.8122,0.2664,-1.3537,0.1549,0.3573,0.9934,1.6412,1.2397,350.0
2020,8,10,4,Monsoon,0,Industrial,17.1,82.5,16.0,0.04,37.3,455.0,1.0,94.0,1.3,55.4,82.4,31.4,16.5,1.41,80.1,2.45,5.21,10.9,1007.9,12.9,1.1715,0.2224,-1.029,-0.0617,-0.1667,-1.3019,1.0314,-0.881,0.6199,-0.4263,-1.1103,1.1994,2.3873,-1.4715,-0.1322,-1.7592,1.0161,-0.0028,1.0697,0.2877,0.4729,-1.75,-1.3927,1.54,0.8967,0.5295,1.7161,1.0206,-1.7098,-0.0577,144.2
2022,8,26,16,Monsoon,1,Residential,22.3,44.6,5.1,0.21,109.4,1325.0,7.5,57.0,9.1,279.0,418.4,169.5,76.2,5.75,45.8,12.62,26.19,14.2,1005.6,7.9,0.2941,0.5612,0.8666,0.9832,-1.5156,-0.6342,-0.6319,-0.8767,-1.2451,0.0441,0.1326,0.3869,-0.6755,0.5573,1.0105,0.1031,0.636,-1.1708,-0.2857,0.9508,0.6114,0.0022,-0.4695,0.124,0.4548,-0.0823,-0.3437,-0.5296,0.7741,2.0524,282.1
2023,1,18,1,Winter,0,Industrial,27.0,44.1,27.6,1.37,35.6,440.0,2.1,99.0,19.6,34.0,48.0,23.4,11.5,0.82,89.3,1.73,3.58,19.4,1005.4,14.1,0.7194,0.0013,-0.9697,0.7631,-1.6172,-1.1211,1.308,-0.1809,0.6629,0.2273,0.5197,-1.0351,-1.3375,-0.7076,0.2313,-0.1164,0.8109,-0.1485,0.2542,1.071,0.4687,0.0137,0.8088,1.3786,-0.5465,-0.6552,2.1707,2.053,-0.9219,-0.6322,111.9
2023,5,7,18,Spring,0,Industrial,26.4,42.4,1.6,2.34,48.6,600.0,4.7,67.0,13.6,144.3,217.7,88.6,37.2,3.1,64.6,6.58,12.98,16.8,1004.7,10.9,1.1074,-0.0576,1.9386,0.8922,-1.7973,0.1039,0.6183,0.8486,1.2836,-0.567,1.2909,0.1444,1.1895,2.3891,-1.682,-0.0111,0.4997,-0.3945,1.0964,-1.1678,-2.0457,-0.9319,0.2767,-1.005,1.0556,-0.7394,-0.3066,-0.8392,-0.2886,-0.5267,196.8
2019,4,27,14,Spring,1,Industrial,37.5,63.7,16.2,0.82,83.6,1010.0,3.2,64.0,12.2,147.3,220.1,90.0,42.8,3.02,78.2,6.34,13.6,23.5,1004.3,11.7,-2.4483,0.018,2.0164,-1.378,0.4064,-1.5127,0.9563,0.635,0.79,-1.0061,1.2367,1.4249,-0.1034,1.0334,-1.6806,1.009,-1.2415,-0.2887,0.5409,-0.9511,0.7537,0.4715,1.1814,0.5917,-1.3005,-2.0242,1.3347,2.9056,0.2791,0.212,235.3
2020,9,9,16,Autumn,0,Residential,39.9,51.1,12.0,2.38,90.8,1096.0,2.0,72.0,2.2,166.6,246.6,93.3,47.6,3.4,65.7,7.94,16.77,28.0,1002.4,11.2,-0.2742,1.4475,1.1674,2.3779,-0.8395,-2.3444,1.0308,-0.7719,1.7981,-1.813,0.2474,1.5329,-0.8151,-1.3897,0.7018,1.0066,-1.2827,-0.9509,-0.4093,0.0212,-1.4976,0.4441,-0.5196,-0.3431,-0.5272,0.3462,-0.5189,0.9127,0.9043,-0.5568,219.0
